question,paragraph,answer
Quê hương của Josef Masopust tồn tại từ năm 1918 phải không?,"Josef Masopust (sinh ngày 9 tháng 2 năm 1931 tại Střimice - mất ngày 29 tháng 6 năm 2015 tại Praha) là cựu cầu thủ và huấn luyện viên bóng đá người Tiệp Khắc. Tiệp Khắc (hay Séc-Slovakia, tiếng Séc: Československo, tiếng Slovak: Česko-Slovensko/trước 1990 Československo, tiếng Đức: Tschechoslowakei), còn gọi tắt là Tiệp (nhất là trong khẩu ngữ), là một cựu nhà nước có chủ quyền tại Trung Âu tồn tại từ tháng 10 năm 1918, khi nó tuyên bố độc lập khỏi Đế quốc Áo-Hung, cho tới năm 1992.",đúng
Công ty phát hành album Don't Mess Up My Tempo được sáng lập vào năm 1885 phải không?,"Được phát hành vào ngày 2 tháng 11 năm 2018 bởi SM Entertainment. Đây là một trong những công ty giải trí lớn nhất Hàn Quốc, được thành lập vào năm 1995 bởi CEO và nhà sản xuất âm nhạc Lee Soo-man.",không
Ai cùng với M. Stanley Whittingham giành giải Nobel hóa học năm 2019 là một Nhà hóa học người Nhật?,"Ông đã được trao giải Nobel hóa học năm 2019 cùng với John B. Goodenough và Akira Yoshino với những đóng góp trong phát triển pin lithium-ion. Yoshino Akira (吉野 彰, Yoshino Akira), sinh 30 tháng 1 năm 1948, là một Nhà hóa học người Nhật.",Yoshino Akira
Ca sĩ Amy Winehouse có album do Mark Ronson sản xuất thành viên của Dàn nhạc Jazz Thanh niên Quốc gia thời trẻ phải không?,"Anh đã sản xuất nhiều album đa đĩa bạch kim cũng như thắng giải Grammy cho các ca sĩ như: Amy Winehouse, Adele và Bruno Mars. Là thành viên của Dàn nhạc Jazz Thanh niên Quốc gia thời trẻ, Winehouse đã ký hợp đồng với 19 Management của Simon Fuller vào năm 2002 và sớm thu âm một số bài hát trước khi ký hợp đồng với EMI.",đúng
Daniel Passarella nhỏ tuổi hơn Ruben Loftus-Cheek phải không?,"Ruben Ira Loftus-Cheek (sinh ngày 23 tháng 1 năm 1996) là cầu thủ bóng đá người Anh thi đấu ở vị trí tiền vệ trung tâm cho câu lạc bộ Chelsea và đội tuyển Anh. Daniel Alberto Passarella (sinh 25 tháng 5 năm 1953 tại Chacabuco, thuộc tỉnh Buenos Aires) là một cựu trung vệ bóng đá người Argentina đồng thời là cựu huấn luyện viên của Argentina và Đội tuyển bóng đá quốc gia Uruguay.",không
Đất nước của Carl Linnaeus có tên chính thức là gì?,"Carl Linnæus (23 tháng 5 năm 1707 - 10 tháng 1 năm 1778), cũng được biết đến với quý danh Carl von Linné, là một nhà thực vật học, một bác sĩ kiêm nhà động vật học người Thụy Điển, người đã đặt nền móng cho hệ thống danh pháp hiện đại. Thụy Điển (tiếng Thụy Điển: Sverige), tên chính thức là Vương quốc Thụy Điển (tiếng Thụy Điển: Konungariket Sverige), là một quốc gia ở Bắc Âu, giáp Na Uy ở phía Tây và Phần Lan ở phía Đông Bắc, nối với Đan Mạch bằng cầu Öresund ở phía Nam, phần biên giới còn lại giáp Biển Baltic và Biển Kattegat.",Vương quốc Thụy Điển
Nhà lãnh đạo Đảng Tự do có các trận chiến chính trị với Benjamin Disraeli có sự nghiệp kéo dài bao lâu?,"Disraeli được nhớ đến vì tiếng nói có ảnh hưởng trong các vấn đề thế giới, các trận chiến chính trị của ông với nhà lãnh đạo Đảng Tự do William Ewart Gladstone, và chủ nghĩa bảo thủ một dân tộc hay ""dân chủ Tory"". Trong sự nghiệp kéo dài hơn sáu mươi năm, ông làm Thủ tướng Anh 4 giai đoạn tách biệt nhau (1868–74, 1880–85,tháng 2 đến tháng 7 năm 1886 và 1892–94), nhiều hơn bất cứ ai, và nắm quyền Bộ trưởng Tài chính bốn lần.",hơn sáu mươi năm
Demi Lovato từng ký với hãng thu âm Hollywood Records được sáng lập năm 1989 phải không?,"Năm 2008, Lovato nhận được sự chú ý với vai diễn Mitchie Torres trong bộ phim điện ảnh truyền hình của kênh Disney Channel, Camp Rock, và sau đó Lovato đã ký một hợp đồng thu âm với Hollywood Records. Hollywood Records, Inc. là một hãng đĩa thu âm trực thuộc tập đoàn Disney - Disney Music Group, Hoa Kỳ.Thành lập năm 1989, hãng hiện quản lý một số nghệ sĩ như Demi Lovato, Zendaya, Breaking Benjamin, Sabrina Carpenter, Olivia Holt, Sofia Carson, Forever in Your Mind, New Hope Club, Joywave.",đúng
Giải thưởng mà Matt Damon đã được đề cử cho hai giải thưởng còn gọi là giải gì?,"Damon đã nhận được nhiều thành tựu trong sự nghiệp, bao gồm một giải Oscar trên tổng số 5 đề cử, hai giải Quả cầu vàng trên tổng số 8 đề cử, và đã được đề cử cho hai giải thưởng Điện ảnh Viện Hàn lâm Anh quốc và sáu giải Emmy. Giải thưởng Điện ảnh Viện Hàn lâm Anh quốc (còn gọi là Giải BAFTA) là giải thưởng được trao thường niên do Viện Hàn lâm Nghệ thuật Điện ảnh và Truyền hình Anh quốc (BAFTA).",Giải BAFTA
Đinh Thế Huynh sinh năm nào,Đinh Thế Huynh ( sinh ngày 15 tháng 5 năm 1953 ) là một chính trị gia người Việt Nam .,ngày 15 tháng 5 năm 1953
Phùng Hưng lãnh đạo cuộc khởi nghĩa chống quân xâm lược nào,"Phùng Hưng (761 - 802) là lãnh đạo cuộc khởi nghĩa chống giặc phương Bắc, được nhân dân tôn làm Bố Cái Đại Vương.","giặc phương Bắc,"
Câu lạc bộ có ngang bằng kỷ lục với Tottenham Hotspur F.C. đã giành được bao nhiêu Cúp FIFA Club World Cup?,"Từ năm 1950 tới hết thập niên 2000, đội bóng luôn giành được ít nhất một danh hiệu mỗi thập kỷ, ngang bằng kỷ lục với Manchester United. Câu lạc bộ đã giành được 3 Cúp C1 châu Âu/UEFA Champions League, 1 UEFA Cup Winners' Cup, 1 UEFA Europa league, 1 Siêu cúp châu Âu, 1 Cúp Liên lục địa và 1 FIFA Club World Cup.",1
nơi sâu nhất của Địa Trung Hải là bao nhiêu,Điểm sâu nhất của Địa Trung Hải nằm ở bên phía Đông với độ sâu khoảng 5200m .,khoảng 5200m
