question,info,ambiguity_type,paragraph
Ngành học này đào tạo những kỹ năng gì cho sinh viên?,"[""Tên đầy đủ của ngành học"", ""Các môn học cụ thể trong chương trình"", ""Cơ hội việc làm sau khi tốt nghiệp"", ""Thời gian đào tạo của ngành"", ""Điểm chuẩn đầu vào của ngành""]",missing_context,"Giới thiệu\n\nNgành Công nghệ Kỹ thuật Vật liệu Xây dựng thuộc nhóm ngành Xây dựng với chương trình đào tạo các Cử nhân Kỹ thuật có năng lực chuyên môn cơ bản về xây dựng và chuyên sâu về ngành Công nghệ Kỹ thuật Vật liệu Xây dựng, có phẩm chất chính trị, đạo đức và sức khỏe tốt, đáp ứng nhu cầu lao động có trình độ kỹ thuật cao của đất nước. Sau khi tốt nghiệp, người học sẽ:\n- Có kiến thức cơ bản về toán học, khoa học tự nhiên, đáp ứng cho việc tiếp thu các kiến thức giáo dục chuyên nghiệp và khả năng học tập ở trình độ cao hơn;\n- Có các kiến thức kỹ thuật cơ sở ngành và chuyên ngành giúp đủ năng lực phát hiện, giải quyết các vấn đề liên quan đến công nghệ sản xuất, chế tạo và ứng dụng vật liệu vào trong xây dựng, kiểm soát chất lượng nguyên vật liệu và cấu kiện sản phẩm xây dựng, nghiên cứu sản xuất chế tạo và phát triển các loại vật liệu mới, hiện đại, tiên tiến, độc đáo, hiệu quả, xanh, bền vững...."
Ngành học này có hỗ trợ gì cho sinh viên sau khi tốt nghiệp?,"[""Thông tin về cơ hội việc làm cụ thể"", ""Chương trình hỗ trợ việc làm sau tốt nghiệp của trường"", ""Mối quan hệ hợp tác giữa trường và doanh nghiệp"", ""Tỷ lệ sinh viên có việc làm sau khi tốt nghiệp""]",multiple_interpretations,"Giới thiệu\n\nNgành Công nghệ Kỹ thuật Vật liệu Xây dựng thuộc nhóm ngành Xây dựng với chương trình đào tạo các Cử nhân Kỹ thuật có năng lực chuyên môn cơ bản về xây dựng và chuyên sâu về ngành Công nghệ Kỹ thuật Vật liệu Xây dựng, có phẩm chất chính trị, đạo đức và sức khỏe tốt, đáp ứng nhu cầu lao động có trình độ kỹ thuật cao của đất nước. Sau khi tốt nghiệp, người học sẽ:\n- Có kiến thức cơ bản về toán học, khoa học tự nhiên, đáp ứng cho việc tiếp thu các kiến thức giáo dục chuyên nghiệp và khả năng học tập ở trình độ cao hơn;\n- Có các kiến thức kỹ thuật cơ sở ngành và chuyên ngành giúp đủ năng lực phát hiện, giải quyết các vấn đề liên quan đến công nghệ sản xuất, chế tạo và ứng dụng vật liệu vào trong xây dựng, kiểm soát chất lượng nguyên vật liệu và cấu kiện sản phẩm xây dựng, nghiên cứu sản xuất chế tạo và phát triển các loại vật liệu mới, hiện đại, tiên tiến, độc đáo, hiệu quả, xanh, bền vững...."
Sinh viên của ngành này có thể làm việc ở đâu sau khi tốt nghiệp?,"[""Danh sách đầy đủ các vị trí việc làm ngoài lĩnh vực y tế"", ""Có bao nhiêu sinh viên tốt nghiệp ngành này được tuyển dụng tại các cơ sở y tế"", ""Mức lương trung bình của sinh viên tốt nghiệp ngành này"", ""Thời gian đào tạo của chương trình"", ""Tỷ lệ sinh viên có việc làm sau khi tốt nghiệp""]",multiple_interpretations,"Vật lý Kỹ thuật: kỹ thuật quang tử, cáp quang và ứng dụng, ứng dụng laser trong y học và kỹ thuật, quang bán dẫn ứng dụng. Khả năng liên thông: Sinh viên ở một số ngành học có liên quan đến ngành Vật lý Kỹ thuật như Khoa học Máy tính, Quản lý Công nghiệp, Khoa học Dù liệu,... có thể học liên thông ngành Vật lý Kỹ thuật trong thời gian từ 1-2 năm, tiết kiệm thời gian học tập của sinh viên. Cơ sở vật chất chất lượng cao\nPhòng thực hành trang bị các phần mềm tính toán thiết kế chuyên dụng giúp sinh viên trải nghiệm công việc như hoạt động tại các Phòng thí nghiệm, Viện nghiên cứu. Các xưởng thực nghiệm, chế tạo trang bị tốt với các máy in 3D giúp sinh viên có thể chế tạo, gia công và thiết kế các thử nghiệm liên quan để so sánh kết quả tính toán với thực nghiệm. Các thiết bị y tế và các thiết bị trị liệu do khoa chế tạo giúp sinh viên trải nghiệm vận hành trang thiết bị như trong điều kiện tại các cơ sở y tế. Vị trí việc làm\nKỹ sư Vật lý Kỹ thuật sau khi hoàn thành chương trình đào tạo có thể đảm nhận các vị trí và có hướng phát triển nghề nghiệp như sau:\nThực hiện quản lý, vận hành, bảo trì bảo dưỡng các thiết bị hiện đại tại các cơ sở y tế. Khảo sát, đánh giá chất lượng, tư vấn các hệ thống thiết bị hiện đại."
Trường Đại học Bách Khoa có những cơ hội học bổng nào cho sinh viên?,"[""Có những loại học bổng cụ thể nào?"", ""Giá trị của các học bổng là bao nhiêu?"", ""Điều kiện để nhận học bổng là gì?"", ""Thời hạn đăng ký học bổng là khi nào?"", ""Quy trình xét duyệt học bổng như thế nào?""]",missing_context,"Các phòng thiết kế kỹ thuật của các nhà máy, các công ty có nhiều nhu cầu về chế tạo mới hoặc cải tiến sản phẩm thường xuyên. Các cơ quan đảm bảo chất lượng tiêu chuẩn đo lường như các cơ quan kiểm định, các cơ quan tư vấn kỹ thuật. Quan hệ hợp tác và tuyển dụng\nCác doanh nghiệp đã và đang có quan hệ hợp tác, thường xuyên tuyển dụng các kỹ sư ngành Cơ Kỹ thuật làm việc trong nước và nước ngoài:\nRobert Bosch Engineering and Business Solutions Vietnam, Mercedes-Benz, Vietsovpetro, Công ty CP Xây lắp Dầu khí miền Nam Alpha-ECC, Nike, Schindler, Technip, Hitachi Zosen Viet Nam, Samco, TechnoStar, Akselos, Danieli, Asahi KASEI, NEPTECH, DK Engineering.... Học bổng\nSinh viên có kết quả học tốt có thể được hỗ trợ học bổng từ chính sách học bổng khuyến khích của trường ĐH Bách khoa, Bên cạnh đó, sinh viên được hỗ trợ tối đa trong việc tìm kiếm các học bổng từ các doanh nghiệp, học bổng đồng hành từ các cựu sinh viên của ngành Cơ Kỹ thuật. Học bổng trao đổi và học bổng toàn phần Sau đại học\n\nSinh viên học tốt và có nguyện vọng học Sau Đại học được hỗ trợ tham gia các nhóm nghiên cứu của các giảng viên trong khoa. Bên cạnh đó, khoa có các hoạt động trao đổi với các đối tác quốc tế với các cơ hội học bổng trao đổi và học bổng toàn phần Sau Đại học: Munster Technological University (Ireland). University of Sopron (Hungary). Hokkaido University (Japan). Osaka University (Japan). Waseda University (Japan), Chiba University (Japan), Tokyo Metropolitan University (Japan), Kyushu Institute of Technology (Japan), National Chung-Hsing University (Taiwan), National Sun Yat-Sen University (Taiwan). National Cheng Kung University (Taiwan).... Liên hệ\nPhòng 101 B4, Trường Đại học Bách khoa - ĐHQG-HCM, 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. Hồ Chí Minh\n(028) 38647256-Ext 5317\nfb.com/fas.hcmut\nfas.hcmut.edu.vn\nfas cthcmut.edu.vn"
Trường đại học này có những lợi thế gì cho sinh viên?,"[""Tên đầy đủ của trường đại học"", ""Các chương trình đào tạo cụ thể"", ""Tỷ lệ việc làm sau tốt nghiệp"", ""Học phí và học bổng"", ""Điều kiện tuyển sinh""]",generalization,"Sau khi hoàn thành chương trình đào tạo. người học có khả năng áp dụng kiến thức và kỹ năng đã học để nắm bắt ý tưởng thiết kế, triển khai và vận hành các hệ thống tự động hóa trong thực tế. Cơ sở vật chất chất lượng cao\n\nCác phòng thí nghiệm được trang bị hiện đại, được tài trợ từ các tập đoàn công nghiệp lớn như Siemens. Schneider Electric, Endress+Hauser, Rockwell Automation, Yaskawa,... Trong đó, có các phòng thí nghiệm thực hành điển hình: Phòng thực hành robot Yaskawa, Phòng thực hành tự động hóa IOT Siemens, Phòng nghiên cứu thiết kế phương tiện tự hành, Phòng thí nghiệm cảm biến đo lường. Vị trí việc làm\n\nNgười học có cơ hội việc làm theo đúng chuyên ngành Điều khiển và Tự động hóa. Có cơ hội thăng tiến trong các công ty lớn, các tập đoàn đa quốc gia trong lĩnh vực sản xuất, tự động hóa. Quan hệ hợp tác và tuyển dụng\n\nNgành Kỹ thuật Điều khiển và Tự động hóa có nhiều mối quan hệ hợp tác từ các tập đoàn đa quốc gia về lĩnh vực tự động hóa, các nhà máy sản xuất lớn, và các doanh nghiệp Cựu sinh viên. Liên hệ\n\nPhòng 109 Tòa B3, Trường Đại học Bách khoa - ĐHQG-HCM, 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. Hồ Chí Minh\n(028)38654357\ndca.dee.hcmut.edu.vn"
Trường Đại học Bách Khoa cung cấp những cơ hội gì cho sinh viên?,"[""Cơ hội học bổng cụ thể cho từng ngành"", ""Chương trình liên thông đại học - cao học được tổ chức như thế nào"", ""Tỷ lệ sinh viên được việc làm sau tốt nghiệp"", ""Điều kiện để được nhận học bổng"", ""Số lượng sinh viên đã đi du học nước ngoài hàng năm""]",generalization,"Ngành cô sân chương trình liên thông Đại học - Cao học nên sinh viên có thể học trước một số tín chỉ ở chương trình cao học trong khi học đại học để nhanh chóng có bằng cấp cao hơn là Thạc sĩ và Tiến sĩ. Cơ sở vật chất chất lượng cao\nHiện đại, phòng thí nghiệm cầu đường đáp ứng việc học tập và nghiên cứu trong lĩnh vực xây dựng công trình giao thông. Vị trí việc làm\nSinh viên tốt nghiệp có kiến thức nền tảng rất tốt, giúp cho họ có khả năng tự học cao và có thể đáp ứng nhanh với mọi môi trường làm việc cũng như dễ dàng tiếp cận nhanh chóng với các kiến thức và công nghệ mới trong ngành để có thể đi làm ở cơ quan nhà nước, doanh nghiệp trong ngoài nước hay làm việc, đi học nâng cao ở nước ngoài. Hiện các cựu sinh viên học từ chương trình đang là chủ các doanh nghiệp, các vị trí chủ chốt ở các cơ quan nhà nước, cũng như là giảng viên ở nhiều trường đại học có tiếng ở Việt Nam, từ đó giúp tạo điều kiện thuận lợi trong công tác tuyển dụng cho sinh viên tốt nghiệp từ ngành thuộc trường Đại học Bách khoa - ĐHQG-HCM. Quan hệ hợp tác và tuyển dụng\nBộ môn có nhiều cựu sinh viên đang làm việc với vai trò lãnh đạo ở Sở Giao thông vận tải, Ban Quản lý Dự án, Viện Khoa học và Công nghệ GTVT các công ty thiết kế lớn như TediSouth, BR.... nên sinh viên có cơ hội thực tập và làm việc khi ra trường ở rất nhiều nơi lân cận thành phố Hồ Chí Minh. Học bổng\nBên cạnh các học bổng của Trưởng, của Ban đại diện Cộng đồng Cựu sinh viên Phú Thọ - Bách Khoa (BKA), của Ban Liên Lạc Cựu Sinh Viên Khoa Kỹ Thuật Xây Dựng (BKCONS), các sinh viên ngành có thể nhận hỗ trợ học bổng hàng năm của Ban Liên Lạc Cựu Sinh Viên Phú Thọ - Bách Khoa ngành Cầu Đường. Học bổng trao đổi và học bổng toàn phần Sau Đại học\nNhiều cựu sinh viên đã và đang đi học ở nước ngoài (Hàn, Nhật, Úc, Ý....) ngày càng nhiều và cung cấp cho bộ môn nhiều thông tin để sinh viên có thể học nâng cao ở nước ngoài dễ dàng. Liên hệ\n108 tòa B6, Trường Đại học Bách khoa - ĐHQG-HCM, 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. Hồ Chí Minh\nzalo.me/g/gvfous950\nfce.hcmut.edu.vn\nfb.com/groups/623299137786526/"
Ngành học này có những lợi ích gì?,"[""Tên chính xác của ngành học"", ""Thời gian đào tạo"", ""Cơ hội việc làm cụ thể"", ""Mức lương trung bình sau tốt nghiệp"", ""Điểm chuẩn đầu vào của ngành""]",generalization,"nhằm hướng tới sự phát triển bền vững trong công nghiệp xây dựng và kiến trúc, thiết kế và thi công trong các công trình xây dựng: có tính sáng tạo trong hoạt động nghề nghiệp, có khả năng tự học và tự nghiên cứu:\n- Có kỹ năng cá nhân, kỹ năng nghề nghiệp, kỹ năng giao tiếp, kỹ năng làm việc nhóm.... đủ để hoạt động trong môi trường làm việc liên ngành, đa văn hóa;\n- Có hiểu biết về kinh tế, chính trị, có các kiến thức cơ bản trong lĩnh vực khoa học xã hội và nhân văn phù hợp với chuyên ngành được đào tạo để đóng góp hữu hiệu vào sự phát triển bền vững của xã hội, cộng đồng. Các điểm đặc biệt của ngành\nBên cạnh các môn học chung và môn học của cơ sở ngành xây dựng, chương trình học của ngành bao gồm môn Vật liệu Xây dựng và các môn học chuyên ngành như Kỹ thuật chất kết dính, Kỹ thuật bê tông, Thiết kế công nghệ sản xuất và lắp đặt cấu kiện bê tông đúc sẵn. Bê tông đặc biệt cho công trình. Ăn mòn bê tông và bê tông cốt thép. Thông qua các môn học chuyên ngành này, người học có khả năng\n- Lựa chọn và sử dụng phù hợp vật liệu và sản phẩm có các đặc tính kỹ thuật đáp ứng nhu cầu của kiến trúc và xây dựng:\n- Kiểm soát chất lượng vật liệu xây dựng sử dụng hiệu quả trong xây dựng, quản lý chất lượng công trình (QA/QC):\n- Thiết kế, vận hành và quản lý các dây chuyền công nghệ sản xuất vật liệu sử dụng trong xây dựng như xi măng, bê tông:\n- Nghiên cứu và phát triển chế tạo sản xuất vật liệu mới, hiện đại, tiên tiến, hiệu quả, xanh, bền vững đáp ứng sự phát triển bền vững cho công nghiệp xây dựng. Cơ sở vật chất chất lượng cao\nPhòng thí nghiệm Vật liệu Xây dựng nằm trong tòa nhà B6, Bộ môn Vật liệu Xây dựng, Khoa Kỹ thuật Xây dựng. Với tổng diện tích là 430 m², phòng thí nghiệm được trang bị các máy móc, thiết bị và dụng cụ thí nghiệm phù hợp theo tiêu chuẩn Việt Nam cũng như các tiêu chuẩn quốc tế khác nhằm phục vụ cho công tác đào tạo đại học và sau đại học và nghiên cứu khoa học. Phòng thí nghiệm luôn tạo điều kiện cho người học tìm hiểu và thực hành các thí nghiệm theo các tiêu chuẩn cũng như tiếp cận các kỹ thuật và công nghệ mới trong nước và trên thế giới trong lĩnh vực vật liệu công trình xây dựng. Vị trí việc làm\nNhu cầu tuyển dụng việc làm cho kỹ sư ngành Công nghệ Kỹ thuật Vật liệu Xây dựng hằng năm khoảng 100 người dựa theo thông báo tuyển dụng trực tiếp gửi về Khoa Kỹ thuật Xây dựng và Bộ môn Vật liệu Xây dựng. Theo thống kê, sau khi tốt nghiệp, 100% kỹ sư ngành có việc làm trong các tập đoàn, doanh nghiệp, nhà máy sản xuất và khai thác nguyên vật liệu cung cấp cho các ngành xây dựng (nhà máy xi măng Hà Tiên, nhà máy Nghi Sơn, công ty bê tông ly tâm Thủ Đức,....), các trung tâm, viện nghiên cứu và kiểm định về vật liệu, các cơ quan như Sở Xây Dựng, Sở Khoa học Công nghệ ở các tỉnh thành, các Phòng, Ban quản lý đô thị, dự án xây dựng của quận, huyện, các công ty có chức năng tư vấn giám sát, kiểm định chất lượng công trình.... Quan hệ hợp tác và tuyển dụng\nBộ môn Vật liệu Xây dựng duy trì và mở rộng các mối quan hệ hợp tác với các doanh nghiệp, nhà máy sản xuất, các công ty xây dựng trong việc hỗ trợ sinh viên của ngành nói riêng trong quá trình học tập, thực tập, học bổng, tuyển dụng. Đồng thời cùng phối hợp với Khoa Kỹ thuật Xây dựng duy trì và phát triển mạng lưới cựu sinh viên rộng lớn, khoảng hơn 2000 doanh nghiệp hỗ trợ các hoạt động của sinh viên Khoa Kỹ thuật Xây dựng nói chung. Học bổng\nBên cạnh học bổng khuyến khích của Trường, sinh viên của ngành Công nghệ Kỹ thuật Vật liệu Xây dựng còn có cơ hội nhận được các học bổng khác như học bổng của ban liên lạc cựu sinh viên và các doanh nghiệp, công ty, nhà máy với tổng trị giá 1 tỷ đồng hằng năm. Học bổng trao đổi và học bổng toàn phần Sau Đại học\nKhoa Kỹ thuật Xây dựng nói chung và Bộ môn Vật liệu Xây dựng nói riêng luôn duy trì mở rộng và phát triển hợp tác với nhiều giáo sư, trường Đại học và viện nghiên cứu trên thế giới để thúc đẩy các chương trình học bổng trao đổi (như chương trình trao đổi Peace hằng năm với Đại học Hiroshima, Nhật Bản), và học bổng toàn phần Sau Đại học (học bổng của chính phủ Nhật) cho sinh viên chuyên ngành nói riêng và ngành Kỹ thuật Xây dựng nói chung. Liên hệ\nTòa 111 B6, Trường Đại học Bách khoa - ĐHQG-HCM, 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. Hồ Chí Minh\n028 38650714\nfacebook.com/lxd.dhbk\nfce.hcmut.edu.vn\nvlxd-bk@hcmut.edu.vn"
Các chương trình học bổng nào được cung cấp cho sinh viên của trường?,"[""Học bổng dành riêng cho ngành Công nghệ Kỹ thuật Vật liệu Xây dựng"", ""Chi tiết về điều kiện nhận học bổng"", ""Quy trình đăng ký học bổng"", ""Tổng giá trị học bổng cho từng chuyên ngành khác"", ""Thời hạn nộp hồ sơ học bổng""]",multiple_interpretations,"nhằm hướng tới sự phát triển bền vững trong công nghiệp xây dựng và kiến trúc, thiết kế và thi công trong các công trình xây dựng: có tính sáng tạo trong hoạt động nghề nghiệp, có khả năng tự học và tự nghiên cứu:\n- Có kỹ năng cá nhân, kỹ năng nghề nghiệp, kỹ năng giao tiếp, kỹ năng làm việc nhóm.... đủ để hoạt động trong môi trường làm việc liên ngành, đa văn hóa;\n- Có hiểu biết về kinh tế, chính trị, có các kiến thức cơ bản trong lĩnh vực khoa học xã hội và nhân văn phù hợp với chuyên ngành được đào tạo để đóng góp hữu hiệu vào sự phát triển bền vững của xã hội, cộng đồng. Các điểm đặc biệt của ngành\nBên cạnh các môn học chung và môn học của cơ sở ngành xây dựng, chương trình học của ngành bao gồm môn Vật liệu Xây dựng và các môn học chuyên ngành như Kỹ thuật chất kết dính, Kỹ thuật bê tông, Thiết kế công nghệ sản xuất và lắp đặt cấu kiện bê tông đúc sẵn. Bê tông đặc biệt cho công trình. Ăn mòn bê tông và bê tông cốt thép. Thông qua các môn học chuyên ngành này, người học có khả năng\n- Lựa chọn và sử dụng phù hợp vật liệu và sản phẩm có các đặc tính kỹ thuật đáp ứng nhu cầu của kiến trúc và xây dựng:\n- Kiểm soát chất lượng vật liệu xây dựng sử dụng hiệu quả trong xây dựng, quản lý chất lượng công trình (QA/QC):\n- Thiết kế, vận hành và quản lý các dây chuyền công nghệ sản xuất vật liệu sử dụng trong xây dựng như xi măng, bê tông:\n- Nghiên cứu và phát triển chế tạo sản xuất vật liệu mới, hiện đại, tiên tiến, hiệu quả, xanh, bền vững đáp ứng sự phát triển bền vững cho công nghiệp xây dựng. Cơ sở vật chất chất lượng cao\nPhòng thí nghiệm Vật liệu Xây dựng nằm trong tòa nhà B6, Bộ môn Vật liệu Xây dựng, Khoa Kỹ thuật Xây dựng. Với tổng diện tích là 430 m², phòng thí nghiệm được trang bị các máy móc, thiết bị và dụng cụ thí nghiệm phù hợp theo tiêu chuẩn Việt Nam cũng như các tiêu chuẩn quốc tế khác nhằm phục vụ cho công tác đào tạo đại học và sau đại học và nghiên cứu khoa học. Phòng thí nghiệm luôn tạo điều kiện cho người học tìm hiểu và thực hành các thí nghiệm theo các tiêu chuẩn cũng như tiếp cận các kỹ thuật và công nghệ mới trong nước và trên thế giới trong lĩnh vực vật liệu công trình xây dựng. Vị trí việc làm\nNhu cầu tuyển dụng việc làm cho kỹ sư ngành Công nghệ Kỹ thuật Vật liệu Xây dựng hằng năm khoảng 100 người dựa theo thông báo tuyển dụng trực tiếp gửi về Khoa Kỹ thuật Xây dựng và Bộ môn Vật liệu Xây dựng. Theo thống kê, sau khi tốt nghiệp, 100% kỹ sư ngành có việc làm trong các tập đoàn, doanh nghiệp, nhà máy sản xuất và khai thác nguyên vật liệu cung cấp cho các ngành xây dựng (nhà máy xi măng Hà Tiên, nhà máy Nghi Sơn, công ty bê tông ly tâm Thủ Đức,....), các trung tâm, viện nghiên cứu và kiểm định về vật liệu, các cơ quan như Sở Xây Dựng, Sở Khoa học Công nghệ ở các tỉnh thành, các Phòng, Ban quản lý đô thị, dự án xây dựng của quận, huyện, các công ty có chức năng tư vấn giám sát, kiểm định chất lượng công trình.... Quan hệ hợp tác và tuyển dụng\nBộ môn Vật liệu Xây dựng duy trì và mở rộng các mối quan hệ hợp tác với các doanh nghiệp, nhà máy sản xuất, các công ty xây dựng trong việc hỗ trợ sinh viên của ngành nói riêng trong quá trình học tập, thực tập, học bổng, tuyển dụng. Đồng thời cùng phối hợp với Khoa Kỹ thuật Xây dựng duy trì và phát triển mạng lưới cựu sinh viên rộng lớn, khoảng hơn 2000 doanh nghiệp hỗ trợ các hoạt động của sinh viên Khoa Kỹ thuật Xây dựng nói chung. Học bổng\nBên cạnh học bổng khuyến khích của Trường, sinh viên của ngành Công nghệ Kỹ thuật Vật liệu Xây dựng còn có cơ hội nhận được các học bổng khác như học bổng của ban liên lạc cựu sinh viên và các doanh nghiệp, công ty, nhà máy với tổng trị giá 1 tỷ đồng hằng năm. Học bổng trao đổi và học bổng toàn phần Sau Đại học\nKhoa Kỹ thuật Xây dựng nói chung và Bộ môn Vật liệu Xây dựng nói riêng luôn duy trì mở rộng và phát triển hợp tác với nhiều giáo sư, trường Đại học và viện nghiên cứu trên thế giới để thúc đẩy các chương trình học bổng trao đổi (như chương trình trao đổi Peace hằng năm với Đại học Hiroshima, Nhật Bản), và học bổng toàn phần Sau Đại học (học bổng của chính phủ Nhật) cho sinh viên chuyên ngành nói riêng và ngành Kỹ thuật Xây dựng nói chung. Liên hệ\nTòa 111 B6, Trường Đại học Bách khoa - ĐHQG-HCM, 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. Hồ Chí Minh\n028 38650714\nfacebook.com/lxd.dhbk\nfce.hcmut.edu.vn\nvlxd-bk@hcmut.edu.vn"
Trường có chương trình hỗ trợ gì cho sinh viên?,"[""Có những loại học bổng cụ thể nào"", ""Điều kiện để nhận học bổng là gì"", ""Có bao nhiêu suất học bổng mỗi năm"", ""Giá trị học bổng là bao nhiêu"", ""Quy trình đăng ký học bổng như thế nào""]",missing_context,"Thương mại điện tử: Shopee, Lazada, Momo,... Dịch vụ hậu cần: Ahamove, Giao hàng nhanh.... Sản xuất: Unilever, Pepsi, TH Farm.... Công nghệ sinh học: Bioturing, Pacific Informatics.... Giảng viên, nghiên cứu viên tại các trường Đại học hoặc viện nghiên cứu. Quan hệ hợp tác và tuyển dụng\nĐồng hành cùng với các hoạt động hợp tác chung của khoa Khoa học Ứng dụng, Bộ môn Toán cũng có các hoạt động hợp tác và kết nối với doanh nghiệp và cựu sinh viên, học viên cao học và nghiên cứu sinh. Điều này vừa để mở rộng quan hệ hợp tác, vừa để thu thập ý kiến phản hồi của các bên liên quan nhằm nâng cao chất lượng giảng dạy và tạo điều kiện cho sinh viên và học viên tham gia thực tập thực tế. Học bổng\nSinh viên có kết quả học tốt có thể được hỗ trợ học bổng từ chính sách học bổng khuyến khích của trường ĐH Bách khoa, Bên cạnh đó, sinh viên được hỗ trợ tối đa trong việc tìm kiếm các học bổng từ các doanh nghiệp, học bổng đồng hành từ các cựu sinh viên của ngành Cơ Kỹ thuật. Học bổng trao đổi và học bổng toàn phần Sau đại học\nSinh viên học tốt và có nguyện vọng học Sau Đại học được hỗ trợ tham gia các nhóm nghiên cứu của các giảng viên trong khoa. Bên cạnh đó, khoa có các hoạt động trao đổi với các đối tác quốc tế với các cơ hội học bổng trao đổi và học bổng toàn phần Sau Đại học: Munster Technological University (Ireland). University of Sopron (Hungary). Hokkaido University (Japan). Osaka University (Japan). Waseda University (Japan), Chiba University (Japan), Tokyo Metropolitan University (Japan), Kyushu Institute of Technology (Japan), National Chung-Hsing University (Taiwan), National Sun Yat-Sen University (Taiwan). National Cheng Kung University (Taiwan).... Liên hệ\nPhòng 101 B4, Trường Đại học Bách khoa - ĐHQG-HCM, 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. Hồ Chí Minh\n(028) 38647256-Ext 5317\nfb.com/fas.hcmut\nfas.hcmut.edu.vn\nfas cthcmut.edu.vn"
Trường có những chương trình học bổng nào cho sinh viên?,"[""Thông tin chi tiết về điều kiện và giá trị của từng loại học bổng"", ""Quy trình nộp đơn và thời hạn cho các học bổng"", ""Các học bổng dành riêng cho sinh viên ngành nào"", ""Tỷ lệ sinh viên nhận được học bổng mỗi năm"", ""Có học bổng nào dành riêng cho sinh viên năm nhất không""]",generalization,"Học bổng\nCác nguồn học bổng trong và ngoài nước gồm NK Lee: Han Team Scholarship: Jabil VietNam: HB Lâm Minh Triết: HB Vươn lên VN; PVEP, HB Lương Định Của: HB Đồng Hành..... Thông tin học bổng tại Khoa: fenr.hcmut.edu.vn/vi/hoc-bong\n\nHọc bổng trao đổi và học bổng toàn phần Sau đại học\nCó cơ hội nhận học bổng từ các dự án quốc tế\nJICA Knowledge Co-Creation Program\nAUN-SEED Net\nErasmus+ (Châu Âu)\nSEED (Canada)\n\nLiên hệ\nNhà 89, Trường Đại học Bách khoa - ĐHQG-HCM, 268 Lý Thường Kiệt, Phường 14, Quận 10, TP. Hồ Chí Minh\n028 3863 9682\nfb.com/MOTN.BK TPHCM\nfenr.hcmut.edu.vn\nkmt@hcmut.edu.vn"
